STATION ID,TIME,AVAILABLE BIKES,BIKE STANDS
2,01-01-2020 06:25,7,20
2,01-01-2020 06:30,7,20
2,01-01-2020 06:35,7,20
2,01-01-2020 06:40,7,20
2,01-01-2020 06:45,7,20
2,01-01-2020 06:50,6,20
2,01-01-2020 06:55,5,20
2,01-01-2020 07:00,6,20
2,01-01-2020 07:05,6,20
2,01-01-2020 07:10,6,20
2,01-01-2020 07:15,6,20
2,01-01-2020 07:20,5,20
2,01-01-2020 07:25,5,20
2,01-01-2020 07:30,5,10
2,01-01-2020 07:35,5,20
2,01-01-2020 07:40,5,10
2,01-01-2020 07:45,5,20
2,01-01-2020 07:50,5,20
2,01-01-2020 07:55,5,20
2,01-01-2020 08:00,4,20
2,01-01-2020 08:05,4,20
2,01-01-2020 08:10,4,40
2,01-01-2020 08:15,4,20
2,01-01-2020 08:20,4,20
2,01-01-2020 08:25,4,20
2,01-01-2020 08:30,5,20
2,01-01-2020 08:35,5,20
2,01-01-2020 08:40,5,20
2,01-01-2020 08:45,4,20
2,01-01-2020 08:50,4,20
2,01-01-2020 08:55,5,20
2,01-01-2020 09:00,5,20
2,01-01-2020 09:05,5,20
34,01-01-2020 09:10,5,20
34,01-01-2020 09:15,5,20
34,01-01-2020 09:20,4,20
34,01-01-2020 09:25,4,20
34,01-01-2020 09:30,4,20
34,01-01-2020 09:35,4,20
34,01-01-2020 09:40,4,20
34,01-01-2020 09:45,3,20
34,01-01-2020 09:50,2,20
34,01-01-2020 09:55,2,20
34,01-01-2020 10:00,2,20
34,01-01-2020 10:05,1,20
2,01-01-2020 10:10,1,20
2,01-01-2020 10:15,0,20
2,01-01-2020 10:20,0,20
2,01-01-2020 10:25,2,40
2,01-01-2020 10:30,16,20
2,01-01-2020 10:35,15,20
2,01-01-2020 10:40,15,20
2,01-01-2020 10:45,15,20
2,01-01-2020 10:50,15,20
2,01-01-2020 10:55,15,20
2,01-01-2020 11:00,15,20
2,01-01-2020 11:05,15,20
2,01-01-2020 11:10,15,40
2,01-01-2020 11:15,15,20
2,01-01-2020 11:20,15,20
2,01-01-2020 11:25,15,20
2,01-01-2020 11:30,15,20
2,01-01-2020 11:35,15,20
2,01-01-2020 11:40,15,20
2,01-01-2020 11:45,15,20
2,01-01-2020 11:50,15,20
101,01-01-2020 11:55,15,20
101,01-01-2020 12:00,15,20
101,01-01-2020 12:05,15,20
101,01-01-2020 12:10,15,20
101,01-01-2020 12:15,14,20
101,01-01-2020 12:20,14,20
101,01-01-2020 12:25,14,20
101,01-01-2020 12:30,14,20
101,01-01-2020 12:35,14,20
101,01-01-2020 12:40,15,20
101,01-01-2020 12:45,13,20
101,01-01-2020 12:50,13,20
2,01-01-2020 12:55,13,20
2,01-01-2020 13:00,13,20
2,01-01-2020 13:05,13,20
2,01-01-2020 13:10,13,20
2,01-01-2020 13:15,13,20
2,01-01-2020 13:20,13,20
2,01-01-2020 13:25,13,20
2,01-01-2020 13:30,15,20
2,01-01-2020 13:35,16,20
2,01-01-2020 13:40,16,20
2,01-01-2020 13:45,15,20
2,01-01-2020 13:50,15,20
2,01-01-2020 13:55,14,20
2,01-01-2020 14:00,15,20
2,01-01-2020 14:05,15,20
2,01-01-2020 14:10,14,20
2,01-01-2020 14:15,14,20
2,01-01-2020 14:20,14,20
2,01-01-2020 14:25,14,20
2,01-01-2020 14:30,14,20
2,01-01-2020 14:35,13,20
2,01-01-2020 14:40,13,20
2,01-01-2020 14:45,13,20
2,01-01-2020 14:50,13,20
2,01-01-2020 14:55,13,20
2,01-01-2020 15:00,13,20
2,01-01-2020 15:05,14,20
2,01-01-2020 15:10,14,20
2,01-01-2020 15:15,14,20
2,01-01-2020 15:20,13,20
2,01-01-2020 15:25,17,20
2,01-01-2020 15:30,17,20
2,01-01-2020 15:35,17,20
2,01-01-2020 15:40,17,20
2,01-01-2020 15:45,17,20
2,01-01-2020 15:50,17,20
2,01-01-2020 15:55,17,20
2,01-01-2020 16:00,17,20
2,01-01-2020 16:05,17,20
2,01-01-2020 16:10,17,20
2,01-01-2020 16:15,17,20
2,01-01-2020 16:20,16,20
2,01-01-2020 16:25,16,20
2,01-01-2020 16:30,16,20
2,01-01-2020 16:35,16,20
2,01-01-2020 16:40,16,20
2,01-01-2020 16:45,16,20
2,01-01-2020 16:50,16,20
2,01-01-2020 16:55,16,20
2,01-01-2020 17:00,16,20
2,01-01-2020 17:05,16,20
2,01-01-2020 17:10,16,20
2,01-01-2020 17:15,16,20
2,01-01-2020 17:20,16,20
2,01-01-2020 17:25,16,20
2,01-01-2020 17:30,16,20
2,01-01-2020 17:35,16,20
2,01-01-2020 17:40,16,20
2,01-01-2020 17:45,16,20
2,01-01-2020 17:50,16,20
2,01-01-2020 17:55,16,20
2,01-01-2020 18:00,16,20
2,01-01-2020 18:05,16,20
2,01-01-2020 18:10,16,20
2,01-01-2020 18:15,16,20
2,01-01-2020 18:20,16,20
2,01-01-2020 18:25,16,20
2,01-01-2020 18:30,16,20
2,01-01-2020 18:35,16,20
2,01-01-2020 18:40,17,20
2,01-01-2020 18:45,17,20
2,01-01-2020 18:50,17,20
2,01-01-2020 18:55,17,20
2,01-01-2020 19:00,18,20
2,01-01-2020 19:05,17,20
2,01-01-2020 19:10,17,20
2,01-01-2020 19:15,16,20
2,01-01-2020 19:20,16,20
2,01-01-2020 19:25,16,20
2,01-01-2020 19:30,16,20
2,01-01-2020 19:35,15,20
2,01-01-2020 19:40,16,20
2,01-01-2020 19:45,17,20
2,01-01-2020 19:50,17,20
2,01-01-2020 19:55,17,20
2,01-01-2020 20:00,17,20
2,01-01-2020 20:05,18,20
2,01-01-2020 20:10,18,20
2,01-01-2020 20:15,19,20
2,01-01-2020 20:20,19,20
3,01-01-2020 06:25,19,20
3,01-01-2020 06:30,19,20
3,01-01-2020 06:35,19,20
3,01-01-2020 06:40,19,20
3,01-01-2020 06:45,19,20
3,01-01-2020 06:50,19,20
3,01-01-2020 06:55,19,20
3,01-01-2020 07:00,20,20
3,01-01-2020 07:05,20,20
3,01-01-2020 07:10,20,20
3,01-01-2020 07:15,20,20
3,01-01-2020 07:20,20,20
3,01-01-2020 07:25,20,20
3,01-01-2020 07:30,20,20
3,01-01-2020 07:35,20,20
3,01-01-2020 07:40,20,20
3,01-01-2020 07:45,20,20
3,01-01-2020 07:50,20,20
3,01-01-2020 07:55,20,20
3,01-01-2020 08:00,20,20
3,01-01-2020 08:05,20,20
3,01-01-2020 08:10,20,40
3,01-01-2020 08:15,20,20
3,01-01-2020 08:20,20,20
3,01-01-2020 08:25,19,20
3,01-01-2020 08:30,19,40
3,01-01-2020 08:35,19,20
3,01-01-2020 08:40,19,20
3,01-01-2020 08:45,19,20
3,01-01-2020 08:50,19,20
3,01-01-2020 08:55,19,20
3,,19,
3,,19,
3,,19,
3,,19,
3,,20,
3,,20,
3,,20,
3,,20,
3,,20,
3,,20,
3,,20,
3,,19,
3,,18,
3,,18,
3,,18,
3,,18,
3,,19,
3,,19,
3,,20,
3,,20,
3,,20,
3,,20,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,18,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,18,
3,,18,
3,,20,
3,,20,
3,,20,
3,,20,
3,,20,
3,,20,
3,,20,
3,,19,
3,,19,
3,,20,
3,,20,
3,,20,
3,,20,
3,,20,
3,,20,
3,,20,
3,,20,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,20,
3,,19,
3,,19,
3,,19,
3,,18,
3,,18,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,19,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,15,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,14,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
3,,13,
4,,13,
4,,13,
4,,13,
4,,12,
4,,12,
4,,11,
4,,11,
4,,11,
4,,11,
4,,11,
4,,11,
4,,11,
4,,11,
4,,12,
4,,12,
4,,12,
4,,12,
4,,12,
4,,12,
4,,12,
4,,13,
4,,13,
4,,13,
4,,13,
4,,15,
4,,15,
4,,15,
4,,15,
4,,15,
4,,15,
4,,15,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,19,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,17,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,18,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,16,
4,,16,
4,,16,
4,,16,
4,,16,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,17,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
4,,,
